highlightID, color, start, length, end, author, quirkID, quirkTitle, sourceID, sourceTitle, questionID, quote,"Title","Year","Journal","Article Nr","Authors",
28,#800080,10580,438,11018,"Danie Smit",7,"Digital innovation",1,"01_Mendling et al. 2020.",1,"tion research, by contrast, is largely explanatory and empirically descriptive, trying to understand how processes come into being and how they change, both within and across organisations. Its objective is analysis and explanation, through theory development and validation. As such, it brings to bear considerable expertise in inductive and deductive theory development, phenomenological and empirical research in context.
Through these","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
29,#800080,12855,96,12951,"Danie Smit",7,"Digital innovation",1,"01_Mendling et al. 2020.",1,"ion largely emerges bottom-up to unleash generativity that arises from the small.
Third, assumpt","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
30,#d95129,13008,116,13124,"Danie Smit",2,"Process Management",1,"01_Mendling et al. 2020.",1,"screte stage-driven design process, which in its extreme form resembles the infamous waterfall model. Digital innova","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
31,#800080,13125,106,13231,"Danie Smit",7,"Digital innovation",1,"01_Mendling et al. 2020.",1,"ion often unfolds in an ad-hoc and anarchistic fashion driven by situational opportunities.
Fourth, assump","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
32,#800080,13289,253,13542,"Danie Smit",7,"Digital innovation",1,"01_Mendling et al. 2020.",1,"ion is process innovation without bounds. BPM is bounded, for example, to organisational containers, to help concretise, bind and therefore tame the generative potential of digital innovation in order to oﬀer tangible value to businesses.
The picture th","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
33,#d95129,13289,253,13542,"Danie Smit",2,"Process Management",1,"01_Mendling et al. 2020.",1,"ion is process innovation without bounds. BPM is bounded, for example, to organisational containers, to help concretise, bind and therefore tame the generative potential of digital innovation in order to oﬀer tangible value to businesses.
The picture th","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
34,#800080,14209,230,14439,"Danie Smit",7,"Digital innovation",1,"01_Mendling et al. 2020.",1,"ion is inherently socio-technical, addressing both changes in technological systems (such as hardware and software) and social systems (such as processes, structures and norms) brought forward through digitalisation. For example, ","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
35,#8120e1,14209,230,14439,"Danie Smit",4,"Socio",1,"01_Mendling et al. 2020.",1,"ion is inherently socio-technical, addressing both changes in technological systems (such as hardware and software) and social systems (such as processes, structures and norms) brought forward through digitalisation. For example, ","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
36,#0f82e4,14209,230,14439,"Danie Smit",5,"Technical",1,"01_Mendling et al. 2020.",1,"ion is inherently socio-technical, addressing both changes in technological systems (such as hardware and software) and social systems (such as processes, structures and norms) brought forward through digitalisation. For example, ","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
37,#21ff06,14948,699,15647,"Danie Smit",3,"Enabling Factor",1,"01_Mendling et al. 2020.",1,"comes of innovation processes may themselves spawn, or be involved in, further innovation processes (Boland et al., 2007; Kyriakou et al., 2017). Conversely, innovation processes can continuously render products ﬂuid, malleable and emergent (Arazy et al., 2020; Kallinikos et al., 2013), making them ﬁt for change and innovation after market launch and in-use (Werder et al., 2020). This is neither new nor surprising. Contemporary forms of organising, such as Agile or DevOps (Bass et al., 2015; Cram  Newell, 2016), already cater to the scenario that products (e.g., cloud services) and processes (e.g., development, service delivery and change management) are deeply intertwined. There are many o","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
38,#21ff06,17969,357,18326,"Danie Smit",3,"Enabling Factor",1,"01_Mendling et al. 2020.",1,"the outward-looking ambition inherent in digital innovation, BPM largely equates with a programme of ﬁxing problems and eliminating waste. Such a programme introduces novelty to the business process only to a limited extent as the overarching process logic is not questioned. Moreover, the output of any process remains largely unchanged. Everything that ma","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
39,#21ff06,24191,120,24311,"Danie Smit",3,"Enabling Factor",1,"01_Mendling et al. 2020.",1,"ial skill, in combination with other factors, is a core requirement for radical process innovation.
Much like many of th","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
40,#d95129,24191,120,24311,"Danie Smit",2,"Process Management",1,"01_Mendling et al. 2020.",1,"ial skill, in combination with other factors, is a core requirement for radical process innovation.
Much like many of th","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
41,#21ff06,21787,171,21958,"Danie Smit",3,"Enabling Factor",1,"01_Mendling et al. 2020.",1,"an support rapid process change without extensive engineering (Schmiedel  Vom Brocke, 2015). The processes are emergent, but still need to be managed.
“Digital Transformat","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
42,#21ff06,25935,88,26023,"Danie Smit",3,"Enabling Factor",1,"01_Mendling et al. 2020.",1,"ign has to balance new feature innovation with immediate feedback.
It is impossible to f","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
43,#20ffff,25935,88,26023,"Danie Smit",1,"Transformation",1,"01_Mendling et al. 2020.",1,"ign has to balance new feature innovation with immediate feedback.
It is impossible to f","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
44,#d95129,25935,88,26023,"Danie Smit",2,"Process Management",1,"01_Mendling et al. 2020.",1,"ign has to balance new feature innovation with immediate feedback.
It is impossible to f","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
45,#21ff06,27518,384,27902,"Danie Smit",3,"Enabling Factor",1,"01_Mendling et al. 2020.",1," become more agile (Bruno et al., 2011). Process design has to become both more ﬁne-grained and more continuous. Fast feedback and short learning cycles are required to test out which process design works best given the current business environment. Approaches that integrate concepts from AB-testing with BPM address some of these needs (Satyal et al., 2019). Fast implementation app","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
46,#d95129,27518,384,27902,"Danie Smit",2,"Process Management",1,"01_Mendling et al. 2020.",1," become more agile (Bruno et al., 2011). Process design has to become both more ﬁne-grained and more continuous. Fast feedback and short learning cycles are required to test out which process design works best given the current business environment. Approaches that integrate concepts from AB-testing with BPM address some of these needs (Satyal et al., 2019). Fast implementation app","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
47,#d95129,28777,88,28865,"Danie Smit",2,"Process Management",1,"01_Mendling et al. 2020.",1,"as to balance predeﬁned structure and freedom for adaptation.
It is impossible to fully ","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
48,#21ff06,28777,88,28865,"Danie Smit",3,"Enabling Factor",1,"01_Mendling et al. 2020.",1,"as to balance predeﬁned structure and freedom for adaptation.
It is impossible to fully ","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
49,#20ffff,28777,88,28865,"Danie Smit",1,"Transformation",1,"01_Mendling et al. 2020.",1,"as to balance predeﬁned structure and freedom for adaptation.
It is impossible to fully ","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
50,#d95129,29317,441,29758,"Danie Smit",2,"Process Management",1,"01_Mendling et al. 2020.",1," suggests that socio-technical processes cannot be fully planned or automated. Because actions are situated, there will always be some level of improvisation, error, exception and innovation (Feldman et al., 2016), even when the goal is to keep the process stable.
In contrast, BPM has traditionally been supported by workﬂow technology in a way that processes have to be fully speciﬁed (Leymann  Roller, 2000). The deterministic nature of t","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
51,#21ff06,30021,326,30347,"Danie Smit",3,"Enabling Factor",1,"01_Mendling et al. 2020.",1,"n these research works have been integrated into adaptive case management systems and standards (“OMG,” 2016). The essential idea of these systems is to leave parts of the processes deliberately underspeciﬁed and to oﬀer techniques to users for extending and adapting processes during enactment. Going forward, we expect to se","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
52,#21ff06,30674,119,30793,"Danie Smit",3,"Enabling Factor",1,"01_Mendling et al. 2020.",1,"s to balance enforcement of process compliance with identiﬁcation of positive deviance.
It is impossible to anticipate ","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
53,#d95129,30674,119,30793,"Danie Smit",2,"Process Management",1,"01_Mendling et al. 2020.",1,"s to balance enforcement of process compliance with identiﬁcation of positive deviance.
It is impossible to anticipate ","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
55,#d95129,31565,452,32017,"Danie Smit",2,"Process Management",1,"01_Mendling et al. 2020.",1," an ongoing knowledge gap about how the process really works over time (Pentland et al., 2020a).
In the light of this uncertainty, various technologies capable of ongoing monitoring and analysis have been developed, such as process mining (van der Aalst, 2011). In essence, process mining takes transactional data as an input for generating ﬁne-grained process diagrams with information on path frequencies and workload. In contrast to interrogative te","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
56,#8120e1,31565,817,32382,"Danie Smit",12,"Process mining",1,"01_Mendling et al. 2020.",1," an ongoing knowledge gap about how the process really works over time (Pentland et al., 2020a).
In the light of this uncertainty, various technologies capable of ongoing monitoring and analysis have been developed, such as process mining (van der Aalst, 2011). In essence, process mining takes transactional data as an input for generating ﬁne-grained process diagrams with information on path frequencies and workload. In contrast to interrogative techniques of monitoring and analysis driven by business analysts, process mining oﬀers fast and detailed evidence on the actual performance of a business process. It allows the discovery of hidden means-ends knowledge in an organisation and its dissemination as much as the identiﬁcation of ineﬃciencies and fraud (Jans et al., 2011).
Process mining is a prime examp","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
57,#8120e1,32942,389,33331,"Danie Smit",12,"Process mining",1,"01_Mendling et al. 2020.",1,"hould be as dynamic as the trace data it analyzes. Emphasis should be on uncovering stable paths and forms of patterning (Goh  Pentland, 2019) in ongoing process performances, to understand which process sequences will likely inﬂuence but not determine future process performances and to identify opportunities for positive deviance (Mertens et al., 2016).
Proposition 4: Over time, proces","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
58,#21ff06,33347,89,33436,"Danie Smit",3,"Enabling Factor",1,"01_Mendling et al. 2020.",1,"balance local optimisation with global options for reuse.
It is impossible to fully antic","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
59,#d95129,33347,89,33436,"Danie Smit",2,"Process Management",1,"01_Mendling et al. 2020.",1,"balance local optimisation with global options for reuse.
It is impossible to fully antic","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
60,#d95129,36678,186,36864,"Danie Smit",2,"Process Management",1,"01_Mendling et al. 2020.",1," interpretation of the term “business” in BPM – BPM increasingly means managing interwoven, digitally-enabled networks of private and business processes.
5. Joining forces through method","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
61,#8120e1,37785,474,38259,"Danie Smit",12,"Process mining",1,"01_Mendling et al. 2020.",1," digital innovation is in the form of digital traces – evidence of activities and events that is logged and stored digitally (Freelon, 2014, p. 59). In other words, digital trace data


EUROPEAN JOURNAL OF INFORMATION SYSTEMS

215

essentially is process data (Pentland et al., 2020b). Process mining could thus be used to mine digital traces to learn patterns about anything people do that is mediated by digital technologies (Yoo, 2010). This capability is extremely impor","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
62,#d95129,41153,344,41497,"Danie Smit",2,"Process Management",1,"01_Mendling et al. 2020.",1,"aradoxically requires more empirical, inductive ﬁeld work. Computational and formal models alone are not suﬃcient. This situation asks BPM researchers to invite colleagues from digital innovation and other empirically-dominated ﬁelds to bring their methodological capability and rigour into the community.
6. Conclusion
Our objective in this in","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
63,#996633,41654,76,41730,"Danie Smit",13,"Key quotes",1,"01_Mendling et al. 2020.",1,"her, like two sides of the same coin. In the 1990s, the original version of ","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
64,#20ffff,41654,76,41730,"Danie Smit",1,"Transformation",1,"01_Mendling et al. 2020.",1,"her, like two sides of the same coin. In the 1990s, the original version of ","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
65,#e12020,1667,247,1914,"Danie Smit",15,"Invest",2,"02_Mikalef P., Krogstie J. 2020",1,"le there is much discussion around how big data analytics can impact a ﬁrm's incremental and radical process innovation capabilities, we still know very little about what big data analytics resources ﬁrms must invest in to drive such outcomes. To ","Examining the interplay between big data analytics and contextual factors in driving process innovation capabilities","2020","European journal of information systems","02","Mikalef P.,Krogstie J.",
66,#d95129,1397,269,1666,"Danie Smit",2,"Process Management",2,"02_Mikalef P., Krogstie J. 2020",1,"potential of big data analytics in enabling improvements in business processes has urged
researchers and practitioners to understand if, and under what combination of conditions, such
novel technologies can support the enactment and management of business processes. Wh","Examining the interplay between big data analytics and contextual factors in driving process innovation capabilities","2020","European journal of information systems","02","Mikalef P.,Krogstie J.",
67,#800080,2980,218,3198,"Danie Smit",16,"Insight",2,"02_Mikalef P., Krogstie J. 2020",1,"ability to generate actionable insight from large volumes of unstructured data has elevated the interest of managers and decision-makers in big data analytics (BDA) over the past few years (Davenport et al., 2012). It ","Examining the interplay between big data analytics and contextual factors in driving process innovation capabilities","2020","European journal of information systems","02","Mikalef P.,Krogstie J.",
68,#20ffff,3198,190,3388,"Danie Smit",17,"Change",2,"02_Mikalef P., Krogstie J. 2020",1,"is argued that this data-generated insight is particularly relevant in dynamic and volatile business environments, where the need to continuously innovate is accentuated (Prescott, 2014). Re","Examining the interplay between big data analytics and contextual factors in driving process innovation capabilities","2020","European journal of information systems","02","Mikalef P.,Krogstie J.",
69,#d95129,3858,331,4189,"Danie Smit",2,"Process Management",2,"02_Mikalef P., Krogstie J. 2020",1,"ncrease of organisations deploying BDA to strengthen their process innovation capabilities has sparked the interest of recent research over the past few years, which has examined if, and under what combination of conditions BDA can produce business value (Mendling et al., 2017; Müller et al., 2016; Vom Brocke et al., 2014b).
Neve","Examining the interplay between big data analytics and contextual factors in driving process innovation capabilities","2020","European journal of information systems","02","Mikalef P.,Krogstie J.",
70,#800080,3858,331,4189,"Danie Smit",7,"Digital innovation",2,"02_Mikalef P., Krogstie J. 2020",1,"ncrease of organisations deploying BDA to strengthen their process innovation capabilities has sparked the interest of recent research over the past few years, which has examined if, and under what combination of conditions BDA can produce business value (Mendling et al., 2017; Müller et al., 2016; Vom Brocke et al., 2014b).
Neve","Examining the interplay between big data analytics and contextual factors in driving process innovation capabilities","2020","European journal of information systems","02","Mikalef P.,Krogstie J.",
71,#20ffff,4190,200,4390,"Danie Smit",18,"Fail",2,"02_Mikalef P., Krogstie J. 2020",1,"theless, a recent report by Gartner forecasts that through 2020, 80% of BDA projects will not deliver business results and will not manage to make it into production (Gartner, 2019). The sizeable

num","Examining the interplay between big data analytics and contextual factors in driving process innovation capabilities","2020","European journal of information systems","02","Mikalef P.,Krogstie J.",
72,#996633,4618,227,4845,"Danie Smit",13,"Key quotes",2,"02_Mikalef P., Krogstie J. 2020",1,"recent investigations have shown that ﬁrms that focus on structured adoption of BDA realise performance gains (Gupta  George, 2016; Hassna  Lowry, 2018; P. Mikalef et al., 2019b; Müller et al., 2018; Wamba et al., 2017). These ","Examining the interplay between big data analytics and contextual factors in driving process innovation capabilities","2020","European journal of information systems","02","Mikalef P.,Krogstie J.",
73,#21ff06,4618,227,4845,"Danie Smit",3,"Enabling Factor",2,"02_Mikalef P., Krogstie J. 2020",1,"recent investigations have shown that ﬁrms that focus on structured adoption of BDA realise performance gains (Gupta  George, 2016; Hassna  Lowry, 2018; P. Mikalef et al., 2019b; Müller et al., 2018; Wamba et al., 2017). These ","Examining the interplay between big data analytics and contextual factors in driving process innovation capabilities","2020","European journal of information systems","02","Mikalef P.,Krogstie J.",
74,#df4444,4618,227,4845,"Danie Smit",11,"Structure",2,"02_Mikalef P., Krogstie J. 2020",1,"recent investigations have shown that ﬁrms that focus on structured adoption of BDA realise performance gains (Gupta  George, 2016; Hassna  Lowry, 2018; P. Mikalef et al., 2019b; Müller et al., 2018; Wamba et al., 2017). These ","Examining the interplay between big data analytics and contextual factors in driving process innovation capabilities","2020","European journal of information systems","02","Mikalef P.,Krogstie J.",
75,#df4bc9,4846,338,5184,"Danie Smit",19,"Culture",2,"02_Mikalef P., Krogstie J. 2020",1,"nd several other studies provide support to the idea that BDA resources need to be cultivated based on the type of process innovation capability they are targeted towards (Bouncken et al., 2018; Liu et al., 2018), as well as on contextual factors of the environment and the organisation (Schmiedel et al., 2019; Zelt et al., 2019). Such ﬁ","Examining the interplay between big data analytics and contextual factors in driving process innovation capabilities","2020","European journal of information systems","02","Mikalef P.,Krogstie J.",
76,#800080,4846,338,5184,"Danie Smit",7,"Digital innovation",2,"02_Mikalef P., Krogstie J. 2020",1,"nd several other studies provide support to the idea that BDA resources need to be cultivated based on the type of process innovation capability they are targeted towards (Bouncken et al., 2018; Liu et al., 2018), as well as on contextual factors of the environment and the organisation (Schmiedel et al., 2019; Zelt et al., 2019). Such ﬁ","Examining the interplay between big data analytics and contextual factors in driving process innovation capabilities","2020","European journal of information systems","02","Mikalef P.,Krogstie J.",
77,#d95129,4846,338,5184,"Danie Smit",2,"Process Management",2,"02_Mikalef P., Krogstie J. 2020",1,"nd several other studies provide support to the idea that BDA resources need to be cultivated based on the type of process innovation capability they are targeted towards (Bouncken et al., 2018; Liu et al., 2018), as well as on contextual factors of the environment and the organisation (Schmiedel et al., 2019; Zelt et al., 2019). Such ﬁ","Examining the interplay between big data analytics and contextual factors in driving process innovation capabilities","2020","European journal of information systems","02","Mikalef P.,Krogstie J.",
78,#d95129,4846,565,5411,"Danie Smit",2,"Process Management",2,"02_Mikalef P., Krogstie J. 2020",1,"nd several other studies provide support to the idea that BDA resources need to be cultivated based on the type of process innovation capability they are targeted towards (Bouncken et al., 2018; Liu et al., 2018), as well as on contextual factors of the environment and the organisation (Schmiedel et al., 2019; Zelt et al., 2019). Such ﬁndings also are in line with a growing body of research in business process management literature which advocates a holistic perspective (Rosemann  De Bruin, 2005; Vom Brocke  Rosemann, 2010; Vom Brocke et al., 2014b).
This vie","Examining the interplay between big data analytics and contextual factors in driving process innovation capabilities","2020","European journal of information systems","02","Mikalef P.,Krogstie J.",
